0.003	40.5577
0.004	41.8877
0.005	46.7277
0.006	51.2777
0.007	56.7677
0.008	61.2377
0.009	66.0177
0.01	70.6177
0.011	75.0077
0.012	79.3677
0.013	83.5477
0.014	87.7377
0.015	91.4377
0.016	95.2277
0.017	98.7377
0.018	102.0677
0.019	105.3977
0.02	108.5877
0.021	111.6677
0.022	114.6077
0.023	117.2877
0.024	119.8377
0.025	122.3677
0.026	124.7777
0.027	127.0777
0.028	129.2777
0.029	131.3677
0.03	133.3077
0.031	135.0877
0.032	136.7977
0.033	138.4577
0.034	140.1077
0.035	141.6677
0.036	143.1277
0.037	144.6377
0.038	145.9277
0.039	146.9977
0.04	148.1377
0.041	149.2477
0.042	150.3177
0.043	151.3777
0.044	152.4177
0.045	153.4077
0.046	154.2477
0.047	155.0177
0.048	155.6977
0.049	156.4277
0.05	157.1977
0.051	157.8777
0.052	158.6477
0.053	159.3077
0.054	159.8377
0.055	160.3177
0.056	160.7777
0.057	161.3477
0.058	161.7577
0.059	162.1777
0.06	162.7777
0.061	163.2077
0.062	163.5477
0.063	163.8277
0.064	164.0977
0.065	164.3977
0.066	164.7477
0.067	165.1877
0.068	165.4277
0.069	165.7377
0.07	165.9677
0.071	166.0377
0.072	166.3277
0.073	166.5677
0.074	166.7577
0.075	167.0177
0.076	167.3177
0.077	167.5177
0.078	167.5677
0.079	167.6377
0.08	167.7377
0.081	167.9177
0.082	168.1177
0.083	168.2877
0.084	168.5477
0.085	168.6077
0.086	168.6177
0.087	168.7477
0.088	168.8077
0.089	168.8677
0.09	169.0377
0.091	169.2377
0.092	169.3477
0.093	169.3577
0.094	169.3677
0.095	169.4177
0.096	169.4777
0.097	169.6177
0.098	169.6777
0.099	169.7477
0.1	169.9177
0.101	169.9077
0.102	169.8677
0.103	169.8977
0.104	169.9677
0.105	170.0177
0.106	170.0677
0.107	170.2577
0.108	170.3077
0.109	170.2077
0.11	170.2077
0.111	170.1977
0.112	170.2677
0.113	170.3077
0.114	170.3677
0.115	170.5277
0.116	170.5577
0.117	170.5777
0.118	170.5177
0.119	170.3977
0.12	170.4577
0.121	170.5477
0.122	170.6077
0.123	170.7077
0.124	170.7277
0.125	170.6877
0.126	170.6777
0.127	170.6977
0.128	170.6777
0.129	170.6477
0.13	170.7377
0.131	170.8477
0.132	170.8277
0.133	170.7977
0.134	170.7677
0.135	170.7577
0.136	170.7777
0.137	170.8777
0.138	170.9777
0.139	170.8777
0.14	170.9177
0.141	170.9377
0.142	170.8477
0.143	170.8577
0.144	170.8177
0.145	170.8677
0.146	170.9577
0.147	171.0977
0.148	171.0277
0.149	170.8477
0.15	170.9177
0.151	170.8977
0.152	170.9277
0.153	170.9677
0.154	171.0577
0.155	171.0977
0.156	171.0077
0.157	170.9777
0.158	170.9477
0.159	170.9277
0.16	170.9077
0.161	171.0777
0.162	171.0877
0.163	171.1177
0.164	171.0977
0.165	170.9277
0.166	171.0177
0.167	171.0177
0.168	170.9777
0.169	170.9977
0.17	171.1377
0.171	171.1977
0.172	171.0777
0.173	171.0577
0.174	171.0077
0.175	170.9977
0.176	171.0077
0.177	171.1377
0.178	171.1977
0.179	171.0977
0.18	171.0977
0.181	171.0077
0.182	171.0177
0.183	171.0177
0.184	170.9977
0.185	171.1377
0.186	171.1877
0.187	171.2377
0.188	171.1577
0.189	170.9577
0.19	171.0077
0.191	171.0277
0.192	171.0377
0.193	171.1477
0.194	171.1777
0.195	171.1677
0.196	171.0677
0.197	171.0777
0.198	171.1077
0.199	170.9877
0.2	171.0677
0.201	171.1977
0.202	171.2377
0.203	171.1777
0.204	171.1177
0.205	171.0677
0.206	171.0877
0.207	171.1777
0.208	171.0777
0.209	171.1077
0.21	171.1577
0.211	171.0977
0.212	171.1077
0.213	171.0477
0.214	171.0477
0.215	171.0577
0.216	171.0577
0.217	171.2677
0.218	171.2777
0.219	171.0577
0.22	171.0777
0.221	171.0777
0.222	171.0377
0.223	171.0977
0.224	171.1477
0.225	171.2277
0.226	171.2477
0.227	171.1977
0.228	171.0877
0.229	171.0077
0.23	171.0477
0.231	171.0977
0.232	171.1977
0.233	171.2077
0.234	171.1977
0.235	171.1477
0.236	171.0377
0.237	171.0977
0.238	171.1077
0.239	171.0577
0.24	171.1777
0.241	171.1977
0.242	171.2077
0.243	171.1777
0.244	171.0777
0.245	171.0477
0.246	171.0977
0.247	171.2277
0.248	171.1877
0.249	171.1677
0.25	171.1677
0.251	171.0877
0.252	171.0477
0.253	171.0577
0.254	171.0977
0.255	171.1477
0.256	171.2077
0.257	171.2777
0.258	171.2877
0.259	171.0977
0.26	171.0077
0.261	171.0877
0.262	171.0977
0.263	171.1177
0.264	171.1777
0.265	171.2577
0.266	171.2577
0.267	171.2477
0.268	171.0877
0.269	170.9977
0.27	171.1377
0.271	171.1577
0.272	171.2277
0.273	171.1977
0.274	171.1377
0.275	171.1177
0.276	171.0277
0.277	171.1477
0.278	171.1577
0.279	171.1377
0.28	171.2077
0.281	171.1977
0.282	171.1777
0.283	171.0877
0.284	171.0977
0.285	171.1077
0.286	171.1377
0.287	171.2377
0.288	171.2377
0.289	171.1377
0.29	171.1277
0.291	171.1077
0.292	171.0977
0.293	171.1177
0.294	171.0977
0.295	171.2077
0.296	171.2377
0.297	171.2577
0.298	171.2077
0.299	171.0677
0.3	171.0777
0.301	171.0977
0.302	171.1077
0.303	171.1677
0.304	171.2277
0.305	171.1877
0.306	171.1477
0.307	171.1677
0.308	171.0877
0.309	171.0677
0.31	171.2077
0.311	171.2177
0.312	171.1877
0.313	171.1877
0.314	171.0977
0.315	171.0977
0.316	171.0677
0.317	171.1877
0.318	171.2377
0.319	171.1477
0.32	171.2177
0.321	171.1977
0.322	171.0977
0.323	171.0177
0.324	171.0977
0.325	171.1477
0.326	171.1177
0.327	171.2477
0.328	171.2077
0.329	171.0877
0.33	171.0877
0.331	171.1077
0.332	171.0977
0.333	171.1377
0.334	171.2177
0.335	171.2177
0.336	171.2377
0.337	171.2277
0.338	171.1077
0.339	171.0477
0.34	171.0977
0.341	171.1177
0.342	171.1077
0.343	171.2277
0.344	171.2777
0.345	171.1277
0.346	171.0977
0.347	171.1177
0.348	171.0877
0.349	171.1377
0.35	171.1877
0.351	171.2477
0.352	171.1877
0.353	171.0877
0.354	171.0377
0.355	171.0577
0.356	171.1077
0.357	171.1777
0.358	171.2477
0.359	171.1777
0.36	171.1877
0.361	171.1177
0.362	171.0277
0.363	171.1177
0.364	171.1377
0.365	171.1277
0.366	171.1877
0.367	171.3077
0.368	171.1577
0.369	171.0577
0.37	171.1177
0.371	171.0677
0.372	171.1677
0.373	171.1377
0.374	171.1677
0.375	171.2477
0.376	171.1477
0.377	171.1777
0.378	171.1377
0.379	171.0877
0.38	171.1877
0.381	171.1977
0.382	171.1777
0.383	171.1777
0.384	171.1777
0.385	171.1277
0.386	171.0877
0.387	171.1677
0.388	171.1277
